n,Expected_n/2,Expected_sqrt(n)
322,3.122,45.076
323,2.973,44.912
324,2.828,42.293
325,2.915,43.682
326,2.877,44.116
327,2.955,44.64
328,2.936,43.153
329,2.892,42.83
330,2.92,44.269
331,3.003,44.617
332,2.926,45.932
333,2.925,43.918
334,2.999,44.45
335,2.768,43.965
336,2.845,44.855
337,2.857,45.658
338,2.918,44.702
339,2.919,45.356
340,2.87,44.672
341,3.079,46.03
342,3.016,45.926
343,2.858,46.491
344,2.852,44.799
345,2.983,46.134
346,2.905,46.03
347,2.956,45.765
348,2.848,47.491
349,2.883,46.322
350,2.847,45.071
351,2.898,47.516
352,2.958,47.927
353,3.05,47.252
354,2.82,48.954
355,3.09,48.005
356,2.999,47.138
357,3.036,48.015
358,2.929,47.882
359,2.855,46.932
360,3.058,47.323
361,3.096,45.277
362,2.899,45.82
363,2.946,46.071
364,3.066,46.568
365,2.993,44.182
366,3.037,47.365
367,2.969,46.656
368,3.008,46.599
369,3.034,46.865
370,2.903,46.759
371,3.037,45.704
372,3.013,46.885
373,3.12,47.343
374,2.821,47.997
375,2.894,47.934
376,3.006,45.74
377,3.028,47.892
378,3.006,46.837
379,3.012,47.747
380,2.961,46.481
381,3.085,49.079
382,3.047,46.728
383,3.015,50.131
384,2.839,49.294
385,3.058,50.491
386,3.106,47.942
387,2.938,49.604
388,3.011,48.975
389,2.913,49.871
390,2.974,48.515
391,3.017,50.339
392,3.04,49.504
393,3.011,49.97
394,2.816,50.094
395,3.072,50.956
396,2.9,50.466
397,2.919,51.717
398,2.906,49.45
399,3.012,52.056
400,2.932,46.65
401,3.068,48.625
402,3.011,48.789
403,2.955,47.753
404,3.014,50.072
405,2.856,47.8
406,2.895,48.918
407,3.057,48.509
408,2.91,48.401
409,2.889,49.454
410,2.893,50.702
411,2.907,49.267
412,2.812,49.997
413,2.954,51.346
414,2.967,50.893
415,2.768,50.277
416,2.952,49.602
417,3.039,51.291
418,2.849,49.917
419,2.995,50.26
420,2.992,50.927
421,2.881,49.621
422,2.831,51.765
423,2.884,53.562
424,2.955,50.546
425,2.868,52.82
426,3.007,53.32
427,3.081,52.072
428,2.917,51.946
429,2.926,48.974
430,2.892,52.31
431,2.921,53.329
432,2.919,53.117
433,3.006,51.641
434,2.978,53.393
435,2.929,51.049
436,2.918,54.316
437,2.852,53.03
438,2.911,52.464
439,3.116,52.528
440,2.839,51.723
441,3.011,52.357
